text,emotion
I am scared of failing my exams and letting everyone down,fear
I feel terrified that I will fail and people will judge me,fear
I am so scared of what will happen if I make a mistake,fear
The thought of public speaking fills me with pure terror,fear
I feel afraid of the dark and of being alone,fear
I am worried that I won't succeed and everyone will mock me,fear
I feel scared and paralyzed by my fear of failure,fear
I dread the future because I am frightened of making errors,fear
I feel anxious and scared about the upcoming results,fear
My heart races with fear whenever I think about the presentation,fear
I feel restless and tense about my career,anxiety
I am constantly worrying about what will happen tomorrow,anxiety
I feel tense and my heart is beating fast with nervousness,anxiety
I cannot sleep because of future-focused worry and tension,anxiety
I feel extremely nervous and anxious about the job interview,anxiety
My mind is filled with nervous thoughts and constant worry,anxiety
I feel uneasy and restless all the time,anxiety
I am anxious about whether I made the right decision,anxiety
I feel stressed and tensed about the uncertain future,anxiety
My hands shake with anxiety and nervousness,anxiety
I am so angry because nobody listens to me,anger
I feel furious that they ignored my contributions,anger
I am filled with rage and irritation at their attitude,anger
It makes me so mad when people lie to my face,anger
I feel irritated and frustrated with this slow progress,anger
I feel resentment and anger towards my unfair teammates,anger
I cannot control my temper and feel extreme rage,anger
I am angry at myself for wasting so much time,anger
I feel annoyed and angry at these constant interruptions,anger
I am furious about the injustice and unfair treatment,anger
I feel very down and heavy-hearted today,sadness
I am grieving the loss of my close friend,sadness
I feel empty and deeply sad inside,sadness
I cannot stop crying because I feel so miserable,sadness
I feel depressed and have no energy to do anything,sadness
My heart is heavy with grief and sorrow,sadness
I feel lonely, sad, and completely abandoned,sadness
I am so disappointed and unhappy with how things turned out,sadness
I feel a deep sense of sadness and hopelessness,sadness
Everything feels gloomy and I feel like weeping,sadness
I believe in my abilities and know I can handle this,confidence
I am confident that I will pass the exam and succeed,confidence
I feel strong, capable, and ready for any challenge,confidence
I trust myself to make the right decisions,confidence
I feel assured of my strength and future success,confidence
I can overcome this obstacle with my hard work,confidence
I feel brave and confident in my skills,confidence
I have full faith in my potential and efforts,confidence
I am proud of my progress and feel self-assured,confidence
I believe I will achieve my goals because I am prepared,confidence
I am so confused and don't know what to do next,confusion
I feel lost and uncertain about my career path,confusion
I am conflicted between two choices and feel puzzled,confusion
My mind is in a state of chaos and uncertainty,confusion
I do not have clarity and feel highly indecisive,confusion
I am unsure of who I am and what my purpose is,confusion
I feel overwhelmed by options and cannot make up my mind,confusion
I am doubtful about which road to take,confusion
I feel perplexed and confused by these mixed signals,confusion
I lack direction and feel totally disoriented,confusion
